week,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,Ole Miss,Louisville,TRUE,31.6,-8.5,8.5,23.1,NA,NA,52.5,NA,NA,NA,NA,Ole Miss -8.5,"early-season (top-2 by edge, outside wk5+ window)"
1,North Dakota State,Jacksonville State,FALSE,-10.3,-10,10,-20.3,NA,NA,48.5,NA,NA,NA,NA,Jacksonville State +10.0,"early-season (top-2 by edge, outside wk5+ window)"
1,Oregon,Boise State,FALSE,41,-24.5,24.5,16.5,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Texas A&M,Missouri State,FALSE,53.5,-38.5,38.5,15,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,Stanford,Miami,FALSE,-35.9,21.5,-21.5,-14.4,NA,NA,48.5,NA,NA,NA,NA,NA,NA
1,Penn State,Marshall,FALSE,9.8,-23.5,23.5,-13.7,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,Georgia Tech,Colorado,FALSE,-6.1,-7,7,-13.1,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,Tulsa,Oklahoma State,FALSE,-24.5,11.5,-11.5,-13,NA,NA,61.5,NA,NA,NA,NA,NA,NA
1,California,UCLA,FALSE,-10.5,-2.5,2.5,-13,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Auburn,Baylor,TRUE,19.9,-7,7,12.9,NA,NA,58.5,NA,NA,NA,NA,NA,NA
1,South Florida,Florida International,FALSE,0,-12.5,12.5,-12.5,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,Michigan,Western Michigan,FALSE,14.6,-26.5,26.5,-11.9,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,Alabama,East Carolina,FALSE,36.5,-25.5,25.5,11,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,UNLV,Memphis,FALSE,-7.4,-3,3,-10.4,NA,NA,60.5,NA,NA,NA,NA,NA,NA
1,Illinois,UAB,FALSE,18.1,-27.5,27.5,-9.4,NA,NA,56.5,NA,NA,NA,NA,NA,NA
