week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
4,2026-09-27,Sacramento State,Massachusetts,FALSE,20.3,6,-6,26.3,NA,NA,50.5,NA,NA,NA,NA,Sacramento State +6.0,"early-season (top-1 by edge, outside wk5+ window)"
4,2026-09-26,Utah State,Troy,FALSE,20.3,-2.5,2.5,17.8,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-25,UAB,Navy,FALSE,4.9,11.5,-11.5,16.4,NA,NA,53.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Michigan State,Nebraska,FALSE,-18.5,5.5,-5.5,-13,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Tennessee,Texas,FALSE,6,6.5,-6.5,12.5,NA,NA,56.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Virginia,Delaware,FALSE,9.6,-20.5,20.5,-10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-24,Coastal Carolina,Liberty,FALSE,-9.2,-1.5,1.5,-10.7,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,Fresno State,Rice,FALSE,24,-13.5,13.5,10.5,NA,NA,43.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Louisville,Wake Forest,FALSE,3.2,-13.5,13.5,-10.3,NA,NA,58.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Florida,Ole Miss,FALSE,-8.7,-1.5,1.5,-10.2,NA,NA,57.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Washington State,Arizona,FALSE,-3.5,13.5,-13.5,10,NA,NA,48.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Ohio State,Illinois,FALSE,17.8,-27.5,27.5,-9.7,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Georgia State,Northern Illinois,FALSE,-0.7,-8.5,8.5,-9.2,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Western Michigan,Boise State,FALSE,1.3,7.5,-7.5,8.8,NA,NA,47.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,Nevada,Air Force,FALSE,4.2,4.5,-4.5,8.7,NA,NA,48.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,California,Clemson,FALSE,-10,1.5,-1.5,-8.5,NA,NA,47.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Baylor,Colorado,FALSE,1.4,-8.5,8.5,-7.1,NA,NA,53.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Mississippi State,Missouri,FALSE,-5.6,-1.5,1.5,-7.1,NA,NA,56.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,LSU,Texas A&M,FALSE,-4,-3,3,-7,NA,NA,57.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,Arkansas,Tulsa,FALSE,15.5,-8.5,8.5,7,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Kentucky,South Alabama,FALSE,12.6,-19.5,19.5,-6.9,NA,NA,55.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,USC,Oregon,FALSE,-12.3,5.5,-5.5,-6.8,NA,NA,58.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Indiana,Northwestern,FALSE,17.3,-23.5,23.5,-6.2,NA,NA,47.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Tulane,Southern Miss,FALSE,11.3,-17.5,17.5,-6.2,NA,NA,53.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Jacksonville State,Middle Tennessee,FALSE,15.6,-9.5,9.5,6.1,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Cincinnati,Kansas State,FALSE,0,6,-6,6,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Alabama,South Carolina,FALSE,5.6,-11.5,11.5,-5.9,NA,NA,46.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,UTSA,Colorado State,FALSE,5.7,-11.5,11.5,-5.8,NA,NA,57.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Auburn,Vanderbilt,FALSE,2.7,-8.5,8.5,-5.8,NA,NA,50.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Purdue,Notre Dame,FALSE,-21.8,27.5,-27.5,5.7,NA,NA,56.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,New Mexico State,New Mexico,FALSE,-7,12.5,-12.5,5.5,NA,NA,49.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Michigan,Iowa,FALSE,8.8,-4.5,4.5,4.3,NA,NA,39.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,NC State,App State,FALSE,9.7,-14,14,-4.3,NA,NA,55.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,Stanford,Georgia Tech,FALSE,-8.7,4.5,-4.5,-4.2,NA,NA,48.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Bowling Green,South Florida,FALSE,-11.4,15.5,-15.5,4.1,NA,NA,51.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Georgia Southern,Houston,FALSE,-15.7,19.5,-19.5,3.8,NA,NA,55.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Maryland,UCLA,FALSE,1.9,1.5,-1.5,3.4,NA,NA,51.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Wyoming,Hawai'i,FALSE,-2.1,5.5,-5.5,3.4,NA,NA,44.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,UL Monroe,Florida Atlantic,FALSE,-10.1,13.5,-13.5,3.4,NA,NA,59.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Kent State,Ball State,FALSE,1.3,-4.5,4.5,-3.2,NA,NA,51.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Charlotte,Louisiana,FALSE,-17.7,14.5,-14.5,-3.2,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,Washington,Minnesota,FALSE,6.3,-9.5,9.5,-3.2,NA,NA,44.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,West Virginia,Oklahoma State,FALSE,-5.3,2.5,-2.5,-2.8,NA,NA,57.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Old Dominion,James Madison,FALSE,-1.9,4.5,-4.5,2.6,NA,NA,50.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Georgia,Oklahoma,FALSE,12.5,-10,10,2.5,NA,NA,52.5,NA,NA,NA,NA,NA,NA
4,2026-09-25,Temple,Army,FALSE,-5.2,3,-3,-2.2,NA,NA,49.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Miami (OH),UConn,FALSE,1.6,-3,3,-1.4,NA,NA,50.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Arkansas State,Kennesaw State,FALSE,4.1,-5.5,5.5,-1.4,NA,NA,53.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,UTEP,Oregon State,FALSE,-11.1,12.5,-12.5,1.4,NA,NA,55.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Akron,UNLV,FALSE,-12.8,14,-14,1.2,NA,NA,49.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Iowa State,Utah,FALSE,-10.3,11.5,-11.5,1.2,NA,NA,49.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Toledo,San Diego State,FALSE,-2.6,1.5,-1.5,-1.1,NA,NA,48.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Miami,Central Michigan,FALSE,41.4,-42.5,42.5,-1.1,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,UCF,TCU,FALSE,-4,3,-3,-1,NA,NA,50.5,NA,NA,NA,NA,NA,NA
4,2026-09-27,SMU,Missouri State,FALSE,33.6,-34.5,34.5,-0.9,NA,NA,59.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Boston College,Virginia Tech,FALSE,-13.3,14,-14,0.7,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Texas Tech,Sam Houston,FALSE,37.7,-37.5,37.5,0.2,NA,NA,54.5,NA,NA,NA,NA,NA,NA
4,2026-09-26,Penn State,Wisconsin,FALSE,11.6,-11.5,11.5,0.1,NA,NA,42.5,NA,NA,NA,NA,NA,NA
4,2026-09-24,Tuskegee,Benedict,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-25,Brown,Harvard,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-25,Rutgers,Howard,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Maine Maritime,Curry,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Keystone,Wisconsin Whitewater,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,California (PA),Slippery Rock,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Walsh,Ashland,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Clarion,Edinboro,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Hillsdale,Thomas More,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Western Connecticut State,Kean,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Pace,Saint Anselm,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Hilbert,Rochester (NY),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Kutztown,Shepherd,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Pittsburgh,Bucknell,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Duquesne,University of Rio Grande,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Marist,Presbyterian,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Sacred Heart,New Hampshire,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Rensselaer,Hobart,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Susquehanna,Christopher Newport,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Endicott,Husson,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Stevenson,FDU Florham,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Delaware Valley,Eastern,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Albright,Misericordia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Hartwick,Brockport,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Alfred,St. John Fisher,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Lafayette,Holy Cross,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Georgetown,Columbia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,William Paterson,Moravian,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Davidson,Drake,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Indiana State,North Dakota,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Cornell,Yale,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
