week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
3,2026-09-19,Minnesota,Akron,FALSE,24.2,-26.5,26.5,-2.3,NA,NA,48.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,App State,Charlotte,FALSE,22.3,-20,20,2.3,NA,NA,52,NA,NA,NA,NA,NA,NA
3,2026-09-20,UCLA,Purdue,FALSE,12.6,-14.75,14.75,-2.2,NA,NA,53.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Tennessee,Kennesaw State,FALSE,36.8,-35,35,1.8,NA,NA,59.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Texas State,North Texas,FALSE,4.4,-3,3,1.4,NA,NA,63.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Kansas,Arizona State,TRUE,-4.8,6,-6,1.2,NA,NA,54.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Southern Miss,UConn,FALSE,-4,3,-3,-1,NA,NA,54.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Virginia,West Virginia,TRUE,8.1,-9,9,-0.9,NA,NA,52.5,NA,NA,NA,NA,NA,NA
3,2026-09-18,Wake Forest,Miami,FALSE,-20.7,20.25,-20.25,-0.4,NA,NA,52.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Duke,Stanford,FALSE,10.1,-9.75,9.75,0.3,NA,NA,50.75,NA,NA,NA,NA,NA,NA
3,2026-09-17,Pittsburgh,Syracuse,FALSE,10.9,-10.75,10.75,0.2,NA,NA,55.25,NA,NA,NA,NA,NA,NA
3,2026-09-20,Louisiana,UAB,FALSE,8.6,-8.75,8.75,-0.2,NA,NA,58,NA,NA,NA,NA,NA,NA
3,2026-09-20,TCU,Arkansas State,FALSE,20.5,-20.25,20.25,0.2,NA,NA,57.5,NA,NA,NA,NA,NA,NA
3,2026-09-17,Concord,Charleston (WV),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
