week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,2026-09-06,California,UCLA,FALSE,-4,-2.5,2.5,-6.5,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-06,Washington,Washington State,FALSE,15,-21.5,21.5,-6.5,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Georgia Tech,Colorado,FALSE,1,-7,7,-6,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Troy,Sam Houston,FALSE,11.4,-17.25,17.25,-5.8,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Texas A&M,Missouri State,FALSE,44.1,-38.5,38.5,5.6,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,2026-09-06,Nevada,Western Kentucky,FALSE,-9.8,4.25,-4.25,-5.6,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Memphis,Arkansas State,FALSE,15.9,-10.5,10.5,5.4,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Oklahoma,UTEP,FALSE,35.2,-40.5,40.5,-5.3,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,2026-09-07,Florida State,SMU,FALSE,-7.8,2.5,-2.5,-5.3,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,2026-09-06,Hawai'i,UNLV,FALSE,-6.4,1.5,-1.5,-4.9,NA,NA,58.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Houston,Oregon State,FALSE,14.1,-18.5,18.5,-4.4,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Iowa,Northern Illinois,FALSE,25.1,-29.5,29.5,-4.4,NA,NA,43.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,South Carolina,Kent State,FALSE,38.3,-34,34,4.3,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Colorado State,Wyoming,FALSE,-0,-4,4,-4,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Mississippi State,UL Monroe,FALSE,24.6,-28.5,28.5,-3.9,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Pittsburgh,Miami (OH),FALSE,13,-16.5,16.5,-3.5,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Tulsa,Oklahoma State,FALSE,-14.9,11.5,-11.5,-3.4,NA,NA,61.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,South Florida,Florida International,FALSE,9.2,-12.5,12.5,-3.3,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Duke,Tulane,FALSE,5.6,-8.5,8.5,-2.9,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Eastern Michigan,San José State,FALSE,6.3,-3.5,3.5,2.8,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Alabama,East Carolina,FALSE,27.6,-25.5,25.5,2.1,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-03,Wake Forest,Akron,FALSE,23.8,-22.5,22.5,1.3,NA,NA,49.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Cincinnati,Boston College,FALSE,10.5,-9.5,9.5,1,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,West Virginia,Coastal Carolina,FALSE,17.6,-17.5,17.5,0.1,NA,NA,57.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Florida,Florida Atlantic,FALSE,25.4,-25.5,25.5,-0.1,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,2026-09-03,Rutgers,Massachusetts,FALSE,30.5,-30.5,30.5,0,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,2026-08-27,Kentucky Christian,Kentucky Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-27,Indianapolis,Marian (IN),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-27,Seton Hill,East Stroudsburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-29,William Jewell,Fort Lewis,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-29,Elizabeth City State,Fort Valley State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-29,BLUEFIELD,Erskine,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-29,Missouri S&T,Westgate Christian University,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
