week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
2,2026-09-12,Army,South Florida,FALSE,-23.7,-2.5,2.5,-26.2,NA,NA,51,NA,NA,NA,NA,NA,NA
2,2026-09-12,Florida Atlantic,Navy,FALSE,14.9,6,-6,20.9,NA,NA,58.25,NA,NA,NA,NA,NA,NA
2,2026-09-12,Ole Miss,Charlotte,FALSE,64.8,-47,47,17.8,NA,NA,61.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Temple,Penn State,FALSE,-39.1,22.5,-22.5,-16.6,NA,NA,50.5,NA,NA,NA,NA,Penn State -22.5,"early-season (top-1 by edge, outside wk5+ window); two higher edges skipped: service academies held out until played into the rating, and a 64.8-pt projection beyond the model's calibrated range"
2,2026-09-12,Notre Dame,Rice,FALSE,59.9,-44.5,44.5,15.4,NA,NA,53.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Washington,Utah State,FALSE,11,-25.5,25.5,-14.5,NA,NA,56,NA,NA,NA,NA,NA,NA
2,2026-09-12,Virginia Tech,Old Dominion,FALSE,2.1,-16.25,16.25,-14.2,NA,NA,51,NA,NA,NA,NA,NA,NA
2,2026-09-12,Iowa,Iowa State,FALSE,-1.4,-12.75,12.75,-14.2,NA,NA,41.25,NA,NA,NA,NA,NA,NA
2,2026-09-13,Utah,Arkansas,FALSE,25,-11.25,11.25,13.8,NA,NA,55.75,NA,NA,NA,NA,NA,NA
2,2026-09-12,Texas,Ohio State,FALSE,-10.9,-2,2,-12.9,NA,NA,47.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Oklahoma State,Oregon,FALSE,-33.1,20.5,-20.5,-12.6,NA,NA,59,NA,NA,NA,NA,NA,NA
2,2026-09-12,Clemson,Georgia Southern,FALSE,36.4,-23.75,23.75,12.6,NA,NA,56.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Oregon State,Texas Tech,FALSE,-38.3,27,-27,-11.3,NA,NA,50.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Kentucky,Alabama,FALSE,-20.2,10.5,-10.5,-9.7,NA,NA,49,NA,NA,NA,NA,NA,NA
2,2026-09-13,Air Force,North Dakota State,FALSE,-14,5,-5,-9,NA,NA,48.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Kansas State,Washington State,FALSE,8.6,-17.5,17.5,-8.9,NA,NA,50.25,NA,NA,NA,NA,NA,NA
2,2026-09-12,Minnesota,Mississippi State,FALSE,9.5,-0.75,0.75,8.8,NA,NA,55.5,NA,NA,NA,NA,NA,NA
2,2026-09-12,Michigan State,Eastern Michigan,FALSE,8,-16.25,16.25,-8.2,NA,NA,51.25,NA,NA,NA,NA,NA,NA
