week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
4,2026-09-27,Sacramento State,Massachusetts,FALSE,11.5,6,-6,17.5,NA,51.5,50.5,1,OVER,NA,NA,NA,NA
4,2026-09-26,Miami,Central Michigan,FALSE,29.3,-42.5,42.5,-13.2,NA,49.4,54.5,-5.1,UNDER,NA,NA,NA,NA
4,2026-09-26,Georgia Southern,Houston,FALSE,-8.8,19.5,-19.5,10.7,NA,59.2,55.5,3.7,OVER,NA,NA,NA,NA
4,2026-09-26,Tennessee,Texas,FALSE,4,6.5,-6.5,10.5,NA,57.3,56.5,0.8,OVER,NA,NA,Tennessee +6.5,manual selection by owner -- 4th by edge; the three larger edges were declined
4,2026-09-26,Louisville,Wake Forest,FALSE,3.6,-13.5,13.5,-9.9,NA,47.5,58.5,-11,UNDER,NA,NA,NA,NA
4,2026-09-26,Boston College,Virginia Tech,FALSE,-4.6,14,-14,9.4,NA,60.8,54.5,6.3,OVER,NA,NA,NA,NA
4,2026-09-26,Kentucky,South Alabama,FALSE,10.1,-19.5,19.5,-9.4,NA,54,55.5,-1.5,UNDER,NA,NA,NA,NA
4,2026-09-26,Western Michigan,Boise State,FALSE,1.7,7.5,-7.5,9.2,NA,46.9,47.5,-0.6,UNDER,NA,NA,NA,NA
4,2026-09-27,UL Monroe,Florida Atlantic,FALSE,-4.3,13.5,-13.5,9.2,NA,55.8,59.5,-3.7,UNDER,NA,NA,NA,NA
4,2026-09-26,Washington State,Arizona,FALSE,-4.4,13.5,-13.5,9.1,NA,50.3,48.5,1.8,OVER,NA,NA,NA,NA
4,2026-09-25,UAB,Navy,FALSE,-2.5,11.5,-11.5,9,NA,62.8,53.5,9.3,OVER,NA,NA,NA,NA
4,2026-09-26,Utah State,Troy,FALSE,11,-2.5,2.5,8.5,NA,48.5,52.5,-4,UNDER,NA,NA,NA,NA
4,2026-09-27,SMU,Missouri State,FALSE,26.3,-34.5,34.5,-8.2,NA,57.5,59.5,-2,UNDER,NA,NA,NA,NA
4,2026-09-24,Coastal Carolina,Liberty,FALSE,-6.1,-1.5,1.5,-7.6,NA,56.2,54.5,1.7,OVER,NA,NA,NA,NA
4,2026-09-27,Fresno State,Rice,FALSE,21,-13.5,13.5,7.5,NA,45.2,43.5,1.7,OVER,NA,NA,NA,NA
4,2026-09-27,Nevada,Air Force,FALSE,2.8,4.5,-4.5,7.3,NA,63.3,48.5,14.8,OVER,NA,NA,NA,NA
4,2026-09-26,Cincinnati,Kansas State,FALSE,1.2,6,-6,7.2,NA,58.2,52.5,5.7,OVER,NA,NA,NA,NA
4,2026-09-26,Wyoming,Hawai'i,FALSE,1.6,5.5,-5.5,7.1,NA,49,44.5,4.5,OVER,NA,NA,NA,NA
4,2026-09-26,Akron,UNLV,FALSE,-7,14,-14,7,NA,57.1,49.5,7.6,OVER,NA,NA,NA,NA
4,2026-09-26,Virginia,Delaware,FALSE,13.5,-20.5,20.5,-7,NA,51.7,NA,NA,NA,NA,NA,NA,NA
4,2026-09-26,Florida,Ole Miss,FALSE,-5.4,-1.5,1.5,-6.9,NA,61.5,57.5,4,OVER,NA,NA,NA,NA
4,2026-09-26,West Virginia,Oklahoma State,FALSE,4.4,2.5,-2.5,6.9,NA,48.7,57.5,-8.8,UNDER,NA,NA,NA,NA
4,2026-09-26,Toledo,San Diego State,FALSE,5.3,1.5,-1.5,6.8,NA,43.6,48.5,-4.9,UNDER,NA,NA,NA,NA
4,2026-09-26,Auburn,Vanderbilt,FALSE,1.8,-8.5,8.5,-6.7,NA,59,50.5,8.5,OVER,NA,NA,NA,NA
4,2026-09-26,Tulane,Southern Miss,FALSE,10.9,-17.5,17.5,-6.6,NA,53.6,53.5,0.1,OVER,NA,NA,NA,NA
4,2026-09-27,UTEP,Oregon State,FALSE,-6.1,12.5,-12.5,6.4,NA,44.4,55.5,-11.1,UNDER,NA,NA,NA,NA
4,2026-09-26,Penn State,Wisconsin,FALSE,17.8,-11.5,11.5,6.3,NA,51.7,42.5,9.2,OVER,NA,NA,NA,NA
4,2026-09-26,New Mexico State,New Mexico,FALSE,-7.1,12.5,-12.5,5.4,NA,47.8,49.5,-1.7,UNDER,NA,NA,NA,NA
4,2026-09-26,USC,Oregon,FALSE,-0.1,5.5,-5.5,5.4,NA,64.8,58.5,6.3,OVER,NA,NA,NA,NA
4,2026-09-26,NC State,App State,FALSE,8.7,-14,14,-5.3,NA,55.1,55.5,-0.4,UNDER,NA,NA,NA,NA
4,2026-09-26,Ohio State,Illinois,FALSE,22.6,-27.5,27.5,-4.9,NA,55.5,54.5,1,OVER,NA,NA,NA,NA
4,2026-09-26,Texas Tech,Sam Houston,FALSE,32.8,-37.5,37.5,-4.7,NA,46.9,54.5,-7.6,UNDER,NA,NA,NA,NA
4,2026-09-26,Maryland,UCLA,FALSE,2.5,1.5,-1.5,4,NA,56,51.5,4.5,OVER,NA,NA,NA,NA
4,2026-09-26,Iowa State,Utah,FALSE,-7.6,11.5,-11.5,3.9,NA,55.6,49.5,6.1,OVER,NA,NA,NA,NA
4,2026-09-27,Washington,Minnesota,FALSE,13.3,-9.5,9.5,3.8,NA,52.4,44.5,7.9,OVER,NA,NA,NA,NA
4,2026-09-26,Charlotte,Louisiana,FALSE,-10.8,14.5,-14.5,3.7,NA,49.7,52.5,-2.8,UNDER,NA,NA,NA,NA
4,2026-09-26,UTSA,Colorado State,FALSE,8.1,-11.5,11.5,-3.4,NA,58.7,57.5,1.2,OVER,NA,NA,NA,NA
4,2026-09-26,Jacksonville State,Middle Tennessee,FALSE,6.2,-9.5,9.5,-3.3,NA,57.1,54.5,2.6,OVER,NA,NA,NA,NA
4,2026-09-26,Purdue,Notre Dame,FALSE,-24.3,27.5,-27.5,3.2,NA,62.5,56.5,6,OVER,NA,NA,NA,NA
4,2026-09-26,Alabama,South Carolina,FALSE,8.3,-11.5,11.5,-3.2,NA,52.2,46.5,5.7,OVER,NA,NA,NA,NA
4,2026-09-26,Michigan State,Nebraska,FALSE,-8.6,5.5,-5.5,-3.1,NA,55.5,52.5,3,OVER,NA,NA,NA,NA
4,2026-09-26,Indiana,Northwestern,FALSE,20.5,-23.5,23.5,-3,NA,56.9,47.5,9.4,OVER,NA,NA,NA,NA
4,2026-09-26,Arkansas State,Kennesaw State,FALSE,2.6,-5.5,5.5,-2.9,NA,55.1,53.5,1.6,OVER,NA,NA,NA,NA
4,2026-09-26,Old Dominion,James Madison,FALSE,-2,4.5,-4.5,2.5,NA,48.1,50.5,-2.4,UNDER,NA,NA,NA,NA
4,2026-09-26,LSU,Texas A&M,FALSE,0.5,-3,3,-2.5,NA,44.8,57.5,-12.7,UNDER,NA,NA,UNDER 57.5,"early-season (top-1 unders by edge, outside wk5+ window)"
