week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
3,2026-09-20,Sacramento State,North Dakota State,FALSE,-1.2,25.75,-25.75,24.6,NA,NA,53.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Utah,Utah State,FALSE,9.9,-27.75,27.75,-17.9,NA,NA,57.25,NA,NA,NA,NA,Utah State +27.8,"early-season (top-1 by edge, outside wk5+ window); higher edges skipped: Sacramento State new-FBS with a thin rating, Marshall/Rutgers/Clemson all teams the model has over-rated by 25+ pts per game this season"
3,2026-09-19,Missouri State,Marshall,FALSE,-21.6,4.25,-4.25,-17.4,NA,NA,52.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Rutgers,USC,FALSE,-9.4,24.5,-24.5,15.1,NA,NA,57.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Clemson,North Carolina,FALSE,20.3,-6.25,6.25,14.1,NA,NA,44.5,NA,NA,NA,NA,NA,NA
3,2026-09-20,San José State,Fresno State,FALSE,-20.8,7.25,-7.25,-13.6,NA,NA,51.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,South Alabama,Ohio,FALSE,-8.9,-3.75,3.75,-12.7,NA,NA,53,NA,NA,NA,NA,NA,NA
3,2026-09-19,Indiana,Western Kentucky,FALSE,31.6,-44.25,44.25,-12.6,NA,NA,59.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Florida Atlantic,Florida International,FALSE,-4.4,-7.25,7.25,-11.7,NA,NA,62.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Rice,Western Michigan,FALSE,-23.1,11.75,-11.75,-11.4,NA,NA,44.75,NA,NA,NA,NA,NA,NA
3,2026-09-20,Arizona,Northern Illinois,FALSE,23.7,-35,35,-11.3,NA,NA,49.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Delaware,Coastal Carolina,FALSE,15.7,-4.75,4.75,10.9,NA,NA,58,NA,NA,NA,NA,NA,NA
